"functional_group_id","target_grp","name","description","include_in_depth_adjustment_function","size_range","fgi_block"
1,2,"pelagicsm","Small pelagics (<30 cm)",f,"(,30)","{1,2,3}"
2,4,"pelagicmd","Medium pelagics (30 - 89 cm)",f,"[30,89]","{1,2,3}"
3,8,"pelagiclg","Large pelagics (>=90 cm)",f,"[90,)","{1,2,3}"
4,16,"demersalsm","Small demersals (<30 cm)",t,"(,30)","{4,5,6}"
5,32,"demersalmd","Medium demersals (30 - 89 cm)",t,"[30,89]","{4,5,6}"
6,64,"demersallg","Large demersals (>=90 cm)",t,"[90,)","{4,5,6}"
7,128,"bathypelagicsm","Small bathypelagics (<30 cm)",f,"(,30)","{7,8,9}"
8,256,"bathypelagicmd","Medium bathypelagics (30 - 89 cm)",f,"[30,89]","{7,8,9}"
9,512,"bathypelagiclg","Large bathypelagics (>=90 cm)",f,"[90,)","{7,8,9}"
10,1024,"bathydemersalsm","Small bathydemersals (<30 cm)",t,"(,30)","{10,11,12}"
11,2048,"bathydemersalmd","Medium bathydemersals (30 - 89 cm)",t,"[30,89]","{10,11,12}"
12,4096,"bathydemersallg","Large bathydemersals (>=90 cm)",t,"[90,)","{10,11,12}"
13,8192,"benthopelagicsm","Small benthopelagics (<30 cm)",t,"(,30)","{13,14,15}"
14,16384,"benthopelagicmd","Medium benthopelagics (30 - 89 cm)",t,"[30,89]","{13,14,15}"
15,32768,"benthopelagiclg","Large benthopelagics (>=90 cm)",t,"[90,)","{13,14,15}"
16,65536,"reef-associatedsm","Small reef assoc. fish (<30 cm)",t,"(,30)","{16,17,18}"
17,131072,"reef-associatedmd","Medium reef assoc. fish (30 - 89 cm)",t,"[30,89]","{16,17,18}"
18,262144,"reef-associatedlg","Large reef assoc. fish (>=90 cm)",t,"[90,)","{16,17,18}"
19,524288,"sharksm-md","Small to medium sharks (<90 cm)",t,"(,90)","{19,20}"
20,1048576,"sharklg","Large sharks (>=90 cm)",t,"[90,)","{19,20}"
21,2097152,"raysm md","Small to medium rays (<90 cm)",t,"(,90)","{21,22}"
22,4194304,"raylg","Large rays (>=90 cm)",t,"[90,)","{21,22}"
23,8388608,"flatfishsm md","Small to medium flatfishes (<90 cm)",t,"(,90)","{23,24}"
24,16777216,"flatfishlg","Large flatfishes (>=90 cm)",t,"[90,)","{23,24}"
25,33554432,"cephalopods","Cephalopods",t,"","{25}"
26,67108864,"shrimp","Shrimps",t,"","{26}"
27,134217728,"lobsters,crab","Lobsters, crabs",t,"","{27}"
28,268435456,"jellyfish","Jellyfish",t,"","{28}"
29,536870912,"otherdeminvert","Other demersal invertebrates",t,"","{29}"
30,1073741824,"krill","Krill",f,"","{30}"
